Industry,Date,Ticker,Event,id
Renewables,01.04.19 00:00,Renewables,AWEA report publication [exp April],148
Infrastructure,01.04.19 00:00,ADP FP,Bidders to access data room [exp Apr-Jul],149
Renewables,01.04.19 00:00,Renewables,France onshore auction [exp in April],150
Renewables,01.04.19 00:00,Renewables,UK CFD auction final budged announcement [exp in April],151
Infrastructure,05.04.19 00:00,ADP FP,Investor day,152
Infrastructure,12.04.19 00:00,FRA GR,Traffic,153
Infrastructure,15.04.19 00:00,FER SM,HAH: Mar 2019 Traffic,154
Business Services,30.04.19 00:00,SPIE FP,1Q19 results,155
Renewables,30.04.19 00:00,Renewables,Germany wind additions/permits data,156
Infrastructure,01.05.19 00:00,ADP FP,Privatization winning bidder to be announced before summer [exp May],157
Renewables,01.05.19 00:00,ORSTED DC,UK CFD auction (May),158
Renewables,01.05.19 00:00,Renewables,Germany onshore auction start,159
Infrastructure,01.05.19 00:00,Airports,Japan Hokaido airports deadline to bid (May-2019) - DG/ADP participates,160
Retail,14.05.19 00:00,DUFN SW,1Q19 results,161
Infrastructure,14.05.19 00:00,FRA GR,Traffic,162
Renewables,01.05.19 00:00,Renewables,Germany onshore auction results [exp],163
Infrastructure,07.05.19 00:00,HOT GY,AGM,164
Renewables,17.05.19 00:00,Renewables,Argentina renewables auction - results,165
Renewables,31.05.19 00:00,Renewables,Germany wind additions/permits data,166
Infrastructure,01.06.19 00:00,FER SM,Full Opening of I-77 Managed Lanes ('in summer'),167
Infrastructure,01.06.19 00:00,Airports,Preferred bidder selection for Lille Airport (exp Jun-19),168
Infrastructure,01.06.19 00:00,FHZN SW,decision on Transfer Payments regulation [summer 2019],169
Renewables,2019-06-31,ORSTED DC,UK offshore wind projects extension [process to take up to 9months from Oct-18],170
Infrastructure,01.07.19 00:00,FER SM/HOT GY,Award of Silvertown Tunnel [in July],171
Renewables,01.07.19 00:00,Offshore wind,New Jersey offshore auction results [exp in July],172
Renewables,01.07.19 00:00,Offshore wind,Holland Coast North 1&2 offshore auction [exp in 2H19] 760MW,173
Infrastructure,01.07.19 00:00,Airports,Japan Hokaido airports preferred bidder selection (exp Jul-Aug),174
Renewables,01.07.19 00:00,ORSTED DC,Kust North offshore auction,175
Infrastructure,01.07.19 00:00,Airports,Hokaido airports prefered bidder annoucement [exp Jul-2019],176
Business Services,26.07.19 00:00,SPIE FP,2Q19 results,177
Infrastructure,01.09.19 00:00,FHZN SW,implementation of Transfer Payments regulation [summer 2019],178
Renewables,01.09.19 00:00,ADP FP,Privatization closure [exp Sep-2019],179
Renewables,01.10.19 00:00,Renewables,Germany onshore auction,180
Infrastructure,01.10.19 00:00,AENA SM,Dufry contract decision [end 2019],181
Business Services,08.11.19 00:00,SPIE FP,3Q19 results,182
Infrastructure,01.12.19 00:00,FER SM,HAH: HAL regulatory business plan (December 2019),183
Renewables,01.01.20 00:00,Offshore wind,Denmark offshore auction [exp in 2020] 800MW,184
Infrastructure,01.01.20 00:00,FHZN SW,negotiations start on new regulatory period [1H20],185
Renewables,01.07.20 00:00,Offshore wind,"New Jersey offshore auction [exp in 2H20] 1,200mw",186
Renewables,01.07.20 00:00,Offshore wind,"New York offshore auction [exp in 2H20] 800-1,200MW",187
Renewables,01.07.20 00:00,Offshore wind,Holland Coast West 1 offshore auction [exp in 2H20] 760MW,188
Infrastructure,01.10.20 00:00,FER SM,HAH: CAA initial proposals for H7 review [3Q],189
Renewables,01.01.21 00:00,Offshore wind,Belgium offshore auction [exp in 2021] 700MW,190
Renewables,01.05.21 00:00,Offshore wind,UK CFD auction (exp in May-2021),191
Renewables,01.07.21 00:00,Offshore wind,Holland Coast West 2 offshore auction [exp in 2H21] 760MW,192
